NOMBRE,CALLE+Y+NUMERO,LOCALIDAD,MUNICIPIO
IGNACIO+RAMIREZ+LOPEZ,AVENIDA+5+DE+MAYO,MERIDA,MERIDA
CENTENARIO+DEL+EJERCITO+MEXICANO,AVENIDA+AVIACION+426,MERIDA,MERIDA
CENTENARIO+DEL+EJERCITO+MEXICANO,AVENIDA+AVIACION+426+NA,MERIDA,MERIDA
FELIPE+CARRILLO+PUERTO,AVENIDA+COLON,MERIDA,MERIDA
IBEROAMERICANO,AVENIDA+COLON+196+A,MERIDA,MERIDA
EMERITENSE,AVENIDA+CUPULES+192,MERIDA,MERIDA
GUARDERIA+PARTICIPATIVA+DE+COMERCIO,AVENIDA+CUPULES+83+A,MERIDA,MERIDA
BADEN+POWELL,AVENIDA+ITZAES+257,MERIDA,MERIDA
CENTRO+DE+FORMACION+BASICA+Y+SENSIBILIZACION+ARTISTICA,AVENIDA+ITZAES+501+C,MERIDA,MERIDA
CENTRO+DE+FORMACION+BASICA+Y+SENSIBILIZACION+ARTISTICA,AVENIDA+ITZAES+501+C,MERIDA,MERIDA
RAFAELA+RODRIGUEZ,AVENIDA+ITZAES+597,MERIDA,MERIDA
GERONIMO+BAQUEIRO+FOSTER,AVENIDA+UNIVERSIDAD+PEDAGOGICA+565,MERIDA,MERIDA
ESCUELA+SECUNDARIA+TECNICA+NUM.+8,BOULEVARD+DEL+PESCADOR,PROGRESO,PROGRESO
HERMENEGILDO+GALEANA,CALLE+1,TEXAN+CAMARA,MERIDA
ROCHAVI+ALTABRISA,CALLE+1-A+343,MERIDA,MERIDA
ROCHAVI+ALTABRISA,CALLE+1-A+343,MERIDA,MERIDA
ROCHAVI+ALTABRISA,CALLE+1-A+345,MERIDA,MERIDA
COLEGIO+LIBANES+PENINSULAR,CALLE+1-E+99,MERIDA,MERIDA
COLEGIO+LIBANES+PENINSULAR,CALLE+1-E+99,MERIDA,MERIDA
COLEGIO+LIBANES+PENINSULAR,CALLE+1-E+99,MERIDA,MERIDA
CENTRO+EDUCATIVO+DESTREZAS,CALLE+1-H+182,MERIDA,MERIDA
ESCUELA+MONTESSORI+DE+YUCATAN,CALLE+1-H+302,MERIDA,MERIDA
EDOUARD+SEGUIN,CALLE+1-H+302,MERIDA,MERIDA
MAFALDA,CALLE+1+SUR+401,MERIDA,MERIDA
AUGUSTO+MOLINA+RAMOS,CALLE+10,ACANCEH,ACANCEH
GREGORIO+TORRES+QUINTERO,CALLE+10,DZIDZANTUN,DZIDZANTUN
BENITO+JUAREZ+GARCIA,CALLE+10,CITILCUM,IZAMAL
MOCTEZUMA,CALLE+10,KAUA,KAUA
WILBERTO+CANTON+MOLLER,CALLE+10,KAUA,KAUA
MI+SEGUNDO+HOGAR,CALLE+10,COSGAYA,MERIDA
MANUEL+ALCALA+MARTIN,CALLE+10,SITPACH,MERIDA
VENUSTIANO+CARRANZA,CALLE+10,MERIDA,MERIDA
MIGUEL+ANGEL+FERRERA+BASTO,CALLE+10,MERIDA,MERIDA
FELIPE+ANGELES+RAMIREZ,CALLE+10,MERIDA,MERIDA
JOSE+GONZALEZ+ROSADO,CALLE+10,LOCHE,PANABA
JOSE+CLEMENTE+OROZCO,CALLE+10,CHELEM,PROGRESO
MANUEL+M.+PONCE,CALLE+10,SUDZAL,SUDZAL
ERMILO+ABREU+GOMEZ,CALLE+10,PISTE,TINUM
NIÑOS+HEROES,CALLE+10,TIXCACALCUPUL,TIXCACALCUPUL
SECUNDARIA+TECNICA+NUM.+79,CALLE+10-D,MERIDA,MERIDA
ESCUELA+SECUNDARIA+TECNICA+NUM.+54,CALLE+10-D+NA,MERIDA,MERIDA
JOSE+MA+MORELOS+Y+PAVON,CALLE+10+100,SAN+FELIPE,SAN+FELIPE
LEONIDES+AYALA+ESCAMILLA,CALLE+10+106,CUZAMA,CUZAMA
MIGUEL+HIDALGO+Y+COSTILLA,CALLE+10+128,MERIDA,MERIDA
ELVIA+CARRILLO+PUERTO,CALLE+10+128,MERIDA,MERIDA
JUAN+JACOBO+ROUSSEAU,CALLE+10+216,MERIDA,MERIDA
MANUEL+RODRIGUEZ+ACOSTA,CALLE+10+25,CITILCUM,IZAMAL
BENITO+JUAREZ+GARCIA,CALLE+10+25,CITILCUM,IZAMAL
DANIEL+AYALA+PEREZ,CALLE+10+28,ABALA,ABALA
GUADALUPE+VICTORIA,CALLE+10+30,TICUM,TEKAX
MARIA+DE+MAEZTU,CALLE+10+522,MERIDA,MERIDA
MARIA+DE+MAEZTU,CALLE+10+522,MERIDA,MERIDA
CENTRO+PEDAGOGICO+INFANTIL+SUSULKIJ+CHE,CALLE+10+53,VALLADOLID,VALLADOLID
RICARDO+FLORES+MAGON,CALLE+10+57,NOLO,TIXKOKOB
SOLIDARIDAD,CALLE+10+618,MERIDA,MERIDA
FELIPE+CARRILLO+PUERTO,CALLE+10+SN,TIXCANCAL,TIZIMIN
RAFAEL+MATOS+ESCOBEDO,CALLE+100,MERIDA,MERIDA
NUEVA+CREACION,CALLE+100+663,MERIDA,MERIDA
TUMBEN+LOL,CALLE+102,MERIDA,MERIDA
CENTRO+EDUCATIVO+YALDUD,CALLE+102+429,MERIDA,MERIDA
HEROES+DE+LA+REVOLUCION,CALLE+103+481,MERIDA,MERIDA
EL+JARDIN+DEL+ABUELITO,CALLE+104+433+A,MERIDA,MERIDA
HEROES+DE+MEXICO,CALLE+104+433+A,MERIDA,MERIDA
NETZAHUALCOYOTL,CALLE+104+435,MERIDA,MERIDA
NETZAHUALCOYOTL,CALLE+104+435,MERIDA,MERIDA
GABRIELA+MISTRAL,CALLE+104+443+A,MERIDA,MERIDA
EMILIANO+ZAPATA,CALLE+105+640++Num.+Exterior+650,MERIDA,MERIDA
JUAN+ESCUTIA,CALLE+106+670,MERIDA,MERIDA
LORENZO+FILHO,CALLE+107,MERIDA,MERIDA
MIGUEL+CERVANTES+SAAVEDRA,CALLE+108,MERIDA,MERIDA
JOSE+ESQUIVEL+PREN,CALLE+108,MERIDA,MERIDA
MARIA+DEL+CARMEN+FERRAEZ+IBARRA,CALLE+108+SN,MERIDA,MERIDA
ANGELA+GONZALEZ+DE+MENENDEZ,CALLE+109-F,MERIDA,MERIDA
ADOLFO+LOPEZ+MATEOS,CALLE+11,ABALA,ABALA
ESTEBAN+TORRES+PACHECO,CALLE+11,BUCTZOTZ,BUCTZOTZ
RICARDO+LOPEZ+MENDEZ,CALLE+11,DZEMUL,DZEMUL
ESCUELA+SECUNDARIA+TECNICA+NUM.+52,CALLE+11,DZILAM+DE+BRAVO,DZILAM+DE+BRAVO
HERMENEGILDO+GALEANA,CALLE+11,CEPEDA,HALACHO
PABLO+BOLIO+PONCE,CALLE+11,CITILCUM,IZAMAL
CIRCO+UNIVERSAL,CALLE+11,MERIDA,MERIDA
ESCUELA+COMUNITARIA+CONAFE,CALLE+11,MERIDA,MERIDA
ESCUELA+CONAFE,CALLE+11,MERIDA,MERIDA
ESCUELA+COMUNITARIA+CONAFE,CALLE+11,MERIDA,MERIDA
NIDIA+BETANCOURT+DE+AYALA,CALLE+11,MERIDA,MERIDA
ITZAMNA,CALLE+11,TEKAL+DE+VENEGAS,TEKAL+DE+VENEGAS
