NOMBRE,CALLE Y NUMERO,LOCALIDAD,MUNICIPIO,LAT_HITS,LNG_HITS
IGNACIO RAMIREZ LOPEZ,AVENIDA 5 DE MAYO,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
CENTENARIO DEL EJERCITO MEXICANO,AVENIDA AVIACION 426,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
CENTENARIO DEL EJERCITO MEXICANO,AVENIDA AVIACION 426 NA,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
FELIPE CARRILLO PUERTO,AVENIDA COLON,MERIDA,MERIDA,20.987229,-89.6279613
IBEROAMERICANO,AVENIDA COLON 196 A,MERIDA,MERIDA,20.9872956,-89.6289941
EMERITENSE,AVENIDA CUPULES 192,MERIDA,MERIDA,20.9945283,-89.6297069
GUARDERIA PARTICIPATIVA DE COMERCIO,AVENIDA CUPULES 83 A,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
BADEN POWELL,AVENIDA ITZAES 257,MERIDA,MERIDA,20.9848441,-89.6397223
CENTRO DE FORMACION BASICA Y SENSIBILIZACION ARTISTICA,AVENIDA ITZAES 501 C,MERIDA,MERIDA,20.9771697,-89.6401731
CENTRO DE FORMACION BASICA Y SENSIBILIZACION ARTISTICA,AVENIDA ITZAES 501 C,MERIDA,MERIDA,20.9771697,-89.6401731
RAFAELA RODRIGUEZ,AVENIDA ITZAES 597,MERIDA,MERIDA,20.960263,-89.6420662
GERONIMO BAQUEIRO FOSTER,AVENIDA UNIVERSIDAD PEDAGOGICA 565,MERIDA,MERIDA,20.9468049,-89.5834617
ESCUELA SECUNDARIA TECNICA NUM. 8,BOULEVARD DEL PESCADOR,PROGRESO,PROGRESO,21.2766309,-89.7095143
HERMENEGILDO GALEANA,CALLE 1,TEXAN CAMARA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
ROCHAVI ALTABRISA,CALLE 1-A 343,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
ROCHAVI ALTABRISA,CALLE 1-A 343,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
ROCHAVI ALTABRISA,CALLE 1-A 345,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
COLEGIO LIBANES PENINSULAR,CALLE 1-E 99,MERIDA,MERIDA,21.0132185,-89.6072501
COLEGIO LIBANES PENINSULAR,CALLE 1-E 99,MERIDA,MERIDA,21.0132185,-89.6072501
COLEGIO LIBANES PENINSULAR,CALLE 1-E 99,MERIDA,MERIDA,21.0132185,-89.6072501
CENTRO EDUCATIVO DESTREZAS,CALLE 1-H 182,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
ESCUELA MONTESSORI DE YUCATAN,CALLE 1-H 302,MERIDA,MERIDA,21.012246,-89.619103
EDOUARD SEGUIN,CALLE 1-H 302,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
MAFALDA,CALLE 1 SUR 401,MERIDA,MERIDA,20.9447135,-89.5999106
AUGUSTO MOLINA RAMOS,CALLE 10,ACANCEH,ACANCEH,ZERO_RESULTS,ZERO_RESULTS
GREGORIO TORRES QUINTERO,CALLE 10,DZIDZANTUN,DZIDZANTUN,21.2435737,-89.0358917
BENITO JUAREZ GARCIA,CALLE 10,CITILCUM,IZAMAL,ZERO_RESULTS,ZERO_RESULTS
MOCTEZUMA,CALLE 10,KAUA,KAUA,ZERO_RESULTS,ZERO_RESULTS
WILBERTO CANTON MOLLER,CALLE 10,KAUA,KAUA,ZERO_RESULTS,ZERO_RESULTS
MI SEGUNDO HOGAR,CALLE 10,COSGAYA,MERIDA,21.1003341,-89.7048293
MANUEL ALCALA MARTIN,CALLE 10,SITPACH,MERIDA,21.0265033,-89.5215881
VENUSTIANO CARRANZA,CALLE 10,MERIDA,MERIDA,20.9443224,-89.5879607
MIGUEL ANGEL FERRERA BASTO,CALLE 10,MERIDA,MERIDA,20.9725945,-89.5616438
FELIPE ANGELES RAMIREZ,CALLE 10,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
JOSE GONZALEZ ROSADO,CALLE 10,LOCHE,PANABA,ZERO_RESULTS,ZERO_RESULTS
JOSE CLEMENTE OROZCO,CALLE 10,CHELEM,PROGRESO,ZERO_RESULTS,ZERO_RESULTS
MANUEL M. PONCE,CALLE 10,SUDZAL,SUDZAL,ZERO_RESULTS,ZERO_RESULTS
ERMILO ABREU GOMEZ,CALLE 10,PISTE,TINUM,ZERO_RESULTS,ZERO_RESULTS
NIÑOS HEROES,CALLE 10,TIXCACALCUPUL,TIXCACALCUPUL,ZERO_RESULTS,ZERO_RESULTS
SECUNDARIA TECNICA NUM. 79,CALLE 10-D,MERIDA,MERIDA,20.9544474,-89.5855674
ESCUELA SECUNDARIA TECNICA NUM. 54,CALLE 10-D NA,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
JOSE MA MORELOS Y PAVON,CALLE 10 100,SAN FELIPE,SAN FELIPE,ZERO_RESULTS,ZERO_RESULTS
LEONIDES AYALA ESCAMILLA,CALLE 10 106,CUZAMA,CUZAMA,ZERO_RESULTS,ZERO_RESULTS
MIGUEL HIDALGO Y COSTILLA,CALLE 10 128,MERIDA,MERIDA,20.9258936,-89.6728221
ELVIA CARRILLO PUERTO,CALLE 10 128,MERIDA,MERIDA,20.9258635,-89.6727693
JUAN JACOBO ROUSSEAU,CALLE 10 216,MERIDA,MERIDA,21.002944,-89.57124
MANUEL RODRIGUEZ ACOSTA,CALLE 10 25,CITILCUM,IZAMAL,ZERO_RESULTS,ZERO_RESULTS
BENITO JUAREZ GARCIA,CALLE 10 25,CITILCUM,IZAMAL,ZERO_RESULTS,ZERO_RESULTS
DANIEL AYALA PEREZ,CALLE 10 28,ABALA,ABALA,ZERO_RESULTS,ZERO_RESULTS
GUADALUPE VICTORIA,CALLE 10 30,TICUM,TEKAX,ZERO_RESULTS,ZERO_RESULTS
MARIA DE MAEZTU,CALLE 10 522,MERIDA,MERIDA,20.9611523,-89.5948999
MARIA DE MAEZTU,CALLE 10 522,MERIDA,MERIDA,20.9611523,-89.5948999
CENTRO PEDAGOGICO INFANTIL SUSULKIJ CHE,CALLE 10 53,VALLADOLID,VALLADOLID,ZERO_RESULTS,ZERO_RESULTS
RICARDO FLORES MAGON,CALLE 10 57,NOLO,TIXKOKOB,ZERO_RESULTS,ZERO_RESULTS
SOLIDARIDAD,CALLE 10 618,MERIDA,MERIDA,20.9688812,-89.6693961
FELIPE CARRILLO PUERTO,CALLE 10 SN,TIXCANCAL,TIZIMIN,ZERO_RESULTS,ZERO_RESULTS
RAFAEL MATOS ESCOBEDO,CALLE 100,MERIDA,MERIDA,20.955127,-89.6509852
NUEVA CREACION,CALLE 100 663,MERIDA,MERIDA,21.0259775,-89.6254341
TUMBEN LOL,CALLE 102,MERIDA,MERIDA,20.95821,-89.649739
CENTRO EDUCATIVO YALDUD,CALLE 102 429,MERIDA,MERIDA,20.9766846,-89.6490098
HEROES DE LA REVOLUCION,CALLE 103 481,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
EL JARDIN DEL ABUELITO,CALLE 104 433 A,MERIDA,MERIDA,20.9795049,-89.6497533
HEROES DE MEXICO,CALLE 104 433 A,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
NETZAHUALCOYOTL,CALLE 104 435,MERIDA,MERIDA,20.9773401,-89.6498523
NETZAHUALCOYOTL,CALLE 104 435,MERIDA,MERIDA,20.9773401,-89.6498523
GABRIELA MISTRAL,CALLE 104 443 A,MERIDA,MERIDA,20.9762182,-89.6499388
EMILIANO ZAPATA,CALLE 105 640  Num. Exterior 650,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
JUAN ESCUTIA,CALLE 106 670,MERIDA,MERIDA,20.9535266,-89.6548483
LORENZO FILHO,CALLE 107,MERIDA,MERIDA,20.942665,-89.6127537
MIGUEL CERVANTES SAAVEDRA,CALLE 108,MERIDA,MERIDA,20.9491951,-89.6605956
JOSE ESQUIVEL PREN,CALLE 108,MERIDA,MERIDA,20.9470889,-89.6558243
MARIA DEL CARMEN FERRAEZ IBARRA,CALLE 108 SN,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
ANGELA GONZALEZ DE MENENDEZ,CALLE 109-F,MERIDA,MERIDA,20.9385902,-89.6471168
ADOLFO LOPEZ MATEOS,CALLE 11,ABALA,ABALA,ZERO_RESULTS,ZERO_RESULTS
ESTEBAN TORRES PACHECO,CALLE 11,BUCTZOTZ,BUCTZOTZ,21.2067103,-88.7935015
RICARDO LOPEZ MENDEZ,CALLE 11,DZEMUL,DZEMUL,ZERO_RESULTS,ZERO_RESULTS
