NARCISO+SOUZA+NOVELO,,YAXNIC,MERIDA
UTANAA+PAAL,,XCUNYA,MERIDA
K'AB+PAAL+(MANOS+DE+NIÑO),,TAMANCHE,MERIDA
PREESCOLAR+COMUNITARIO,,YAXCHE,MERIDA
LORENZO+DE+ZAVALA,,ONCAN,MERIDA
PREESCOLAR+COMUNITARIO,,HUNXECTAMAN,MERIDA
AGUSTIN+FRANCO+VILLANUEVA,,MERIDA,MERIDA
SOR+JUANA+INES+DE+LA+CRUZ,,MERIDA,MERIDA
AGORA+COMUNIDAD+EDUCATIVA,,MERIDA,MERIDA
INSTITUTO+MILITARIZADO+DEL+SURESTE,,MERIDA,MERIDA
CENTRO+EDUCATIVO+PIAGET+SODZIL,,MERIDA,MERIDA
PRIMARIA+IBERO,,MERIDA,MERIDA
MADISON+INTERNATIONAL+SCHOOL,,MERIDA,MERIDA
MIGUEL+JORGE,,COSGAYA,MERIDA
VICENTE+GUERRERO,,CHALMUCH,MERIDA
MIGUEL+HIDALGO+Y+COSTILLA,,CHEUMAN,MERIDA
PRIMARIA+COMUNITARIA,,DZIBILCHALTUN,MERIDA
IGNACIO+ALLENDE,,DZIDZILCHE,MERIDA
JUAN+MIGUEL+CASTRO,,DZOYAXCHE,MERIDA
BENITO+JUAREZ+GARCIA,,KIKTEIL,MERIDA
FRANCISCO+SARABIA,,NOC+AC,MERIDA
CANDELARIA+RUZ+PATRON,,PETAC,MERIDA
REDENCION,,SAC-NICTE,MERIDA
PRIMARIA+COMUNITARIA,,SAN+ANTONIO+HOOL,MERIDA
EMILIANO+ZAPATA,,SAN+PEDRO+CHIMAY,MERIDA
FRANCISCO+J.+MUJICA,,SANTA+CRUZ+PALOMEQUE,MERIDA
ZAMNA,,SANTA+MARIA+CHI,MERIDA
LAZARO+CARDENAS+DEL+RIO,,SIERRA+PAPACAL,MERIDA
JOSEFA+ORTIZ+DE+DOMINGUEZ,,SUSULA,MERIDA
PRIMARIA+COMUNITARIA,,SUYTUNCHEN,MERIDA
MIGUEL+HIDALGO+Y+COSTILLA,,TAHDZIBICHEN,MERIDA
GUADALUPE+VICTORIA,,TEMOZON+NORTE,MERIDA
SALVADOR+ALVARADO,,TIXCACAL,MERIDA
LUZ+Y+VERDAD,,TIXCUYTUN,MERIDA
EMILIANO+ZAPATA,,SAN+ANTONIO+TZACALA,MERIDA
ALVARO+OBREGON,,XCANATUN,MERIDA
MELCHOR+OCAMPO,,YAXNIC,MERIDA
EMILIANO+ZAPATA,,XCUNYA,MERIDA
NARCISO+MENDOZA,,TAMANCHE,MERIDA
PRIMARIA+COMUNITARIA,,YAXCHE,MERIDA
20+DE+NOVIEMBRE,,ONCAN,MERIDA
PRIMARIA+COMUNITARIA,,HUNXECTAMAN,MERIDA
COLEGIO+IBEROAMERICANO,,MERIDA,MERIDA
CENTRO+DE+ESTUDIOS+MERIDA,,MERIDA,MERIDA
COLEGIO+ANGELUS,,MERIDA,MERIDA
MADISON+INTERNATIONAL+SCHOOL,,MERIDA,MERIDA
FABIO+ESPINOSA+GRANADOS,,CHALMUCH,MERIDA
CENTRO+DE+EDUCACION+INTEGRAL+MONARCA,,CHOLUL,MERIDA
LUIS+ALVAREZ+BARRET,,DZITYA,MERIDA
SECUNDARIA+COMUNITARIA,,DZOYAXCHE,MERIDA
ESCUELA+SECUNDARIA+TECNICA+NUM.+40,,MOLAS,MERIDA
LEANDRO+VALLE,,SAN+PEDRO+CHIMAY,MERIDA
ANDRES+QUINTANA+ROO,,SIERRA+PAPACAL,MERIDA
SOR+JUANA+INES+DE+LA+CRUZ,,SITPACH,MERIDA
ANTONIO+MEDIZ+BOLIO,,SAN+ANTONIO+TZACALA,MERIDA
MANUEL+AMABILIS,,XCANATUN,MERIDA
JUAN+ALVAREZ,,XCUNYA,MERIDA
PREESCOLAR+COMUNITARIO,,TEKAT,MOCOCHA
PREESCOLAR+COMUNITARIO,,TOO,MOCOCHA
