ID	CCT	NOMBRE	CALLE Y NUMERO	LOCALIDAD	MUNICIPIO
1	31DCC0271C	ADOLFO LOPEZ MATEOS	CALLE 11	ABALA	ABALA
2	31DCC0221V	JUANA INES DE LA CRUZ		MUCUYCHE	ABALA
3	31KJN0176Y	PREESCOLAR COMUNITARIO		SIHUNCHEN	ABALA
4	31DCC0066T	SAJKAB MUKUY	CALLE 3	TEMOZON	ABALA
5	31DCC0272B	PLUTARCO ELIAS CALLES		UAYALCEH	ABALA
6	31KJN0346B	PREESCOLAR COMUNITARIO		PEBA	ABALA
7	31DCC0064V	FELIPE CARRILLO PUERTO		CACAO	ABALA
8	31DPR1699R	RAFAEL RAMIREZ CASTAÑEDA	CALLE 8 NA	ABALA	ABALA
9	31DPR0921U	ELIEZER TREJO CAMARA		MUCUYCHE	ABALA
10	31DPR1008P	VICENTE GUERRERO		SIHUNCHEN	ABALA
11	31DPR0879V	SILVESTRE CHI		TEMOZON	ABALA
12	31DPR0850Q	NICOLAS MOGUEL	CALLE CONOCIDO DOMICILIO CONOCIDO	UAYALCEH	ABALA
13	31DPR0164Z	PIPILA		PEBA	ABALA
14	31DPR0848B	MIGUEL HIDALGO Y COSTILLA		CACAO	ABALA
15	31EES0088C	DANIEL AYALA PEREZ	CALLE 10 28	ABALA	ABALA
16	31ETV0066X	AGUSTIN FRANCO VILLANUEVA		MUCUYCHE	ABALA
17	31ETV0028U	CUAUHTEMOC		TEMOZON	ABALA
18	31ETV0021A	ELIGIO ANCONA ROSADO		UAYALCEH	ABALA
19	31DCC0223T	IX CHEBEL YAX	CALLE 14	ACANCEH	ACANCEH
20	31DCC2024H	SASTAL		ACANCEH	ACANCEH
21	31DJN0017Z	JOSEFINA RAMOS DEL RIO	CALLE 25	ACANCEH	ACANCEH
22	31DCC0297K	GAUDENCIO PERAZA ESQUILIANO		CANICAB	ACANCEH
23	31KJN0001I	PREESCOLAR COMUNITARIO		CIBCEH	ACANCEH
24	31DCC0224S	UXMAL		PETECTUNICH	ACANCEH
25	31KJN0002H	PREESCOLAR COMUNITARIO		SACCHICH	ACANCEH
26	31DCC0222U	NIÑOS HEROES		TEPICH CARRILLO	ACANCEH
27	31DCC0225R	MIGUEL HIDALGO Y COSTILLA		TICOPO	ACANCEH
28	31KJN0232Z	PREESCOLAR COMUNITARIO		DZITINA	ACANCEH
29	31DPR0221A	AMPARO ROSADO	CALLE 14 76	ACANCEH	ACANCEH
30	31DPR0417M	PRIMITIVO RUBIO AVILA	CALLE 30 115	ACANCEH	ACANCEH
31	31DPR0445I	AUGUSTO MOLINA RAMOS	CALLE 10	ACANCEH	ACANCEH
32	31DPR1700Q	AMPARO ROSADO	CALLE 14 76	ACANCEH	ACANCEH
33	31EPR0199O	ALBINO J LOPE	CALLE 23 116	ACANCEH	ACANCEH
34	31DPR0910O	BENITO JUAREZ GARCIA		CANICAB	ACANCEH
35	31KPR0001Z	PRIMARIA COMUNITARIA		CIBCEH	ACANCEH
36	31DPR0930B	NARCISO MENDOZA		PETECTUNICH	ACANCEH
37	31DPR0927O	SALVADOR ALVARADO		SACCHICH	ACANCEH
38	31DPR0877X	JULIAN CARRILLO		TEPICH CARRILLO	ACANCEH
39	31DPR0932Z	JOSE C PENICHE FAJARDO		TICOPO	ACANCEH
40	31KPR0165I	PRIMARIA COMUNITARIA		DZITINA	ACANCEH
41	31DST0013F	ESCUELA SECUNDARIA TECNICA NUM. 13	CARRETERA ACANCEH-HOMUN KILOMETRO 1	ACANCEH	ACANCEH
42	31EES0001H	ERMILO ABREU GOMEZ	CALLE 22 89	ACANCEH	ACANCEH
43	31ETV0100N	JOAQUIN BARANDA		CANICAB	ACANCEH
44	31ETV0133E	TELESECUNDARIA NUM. 133		PETECTUNICH	ACANCEH
45	31ETV0055R	IGNACIO ZARAGOZA		TEPICH CARRILLO	ACANCEH
46	31EES0062V	GRACIANO RICALDE GAMBOA		TICOPO	ACANCEH
47	31DCC0291Q	MIGUEL HIDALGO Y COSTILLA	CALLE 23	AKIL	AKIL
48	31DCC0292P	GUADALUPE VICTORIA	CALLE 36	AKIL	AKIL
49	31DCC2005T	CONSUELO ZAVALA CASTILLO	CALLE 41	AKIL	AKIL
50	31DJN0159Y	LUZ MARIA SERRADEL	CALLE 33	AKIL	AKIL
51	31KJN0291P	PREESCOLAR COMUNITARIO	CALLE 5 DE MAYO	AKIL	AKIL
52	31KJN0398H	PREESCOLAR COMUNITARIO		PLAN CHAC POZO TRES	AKIL
53	31DPR0579Y	20 DE NOVIEMBRE	CALLE 36	AKIL	AKIL
54	31DPR0764U	NACHI COCOM	CALLE 23	AKIL	AKIL
55	31DPR0893O	FELIPE ALCOCER CASTILLO	CALLE 20	AKIL	AKIL
56	31EPR0002N	FELIPE CARRILLO PUERTO	CALLE 20 40	AKIL	AKIL
57	31EPR0243L	SOR JUANA INES DE LA CRUZ	CALLE 20 40	AKIL	AKIL
58	31DPB0052V	ALFREDO BARRERA VASQUEZ		SAN DIEGO	AKIL
59	31KPR0427C	PRIMARIA COMUNITARIA		PLAN CHAC POZO TRES	AKIL
60	31DST0031V	ESCUELA SECUNDARIA TECNICA NUM. 31	CARRETERA AKIL-PENCUYUT KILOMETRO 2	AKIL	AKIL
61	31DJN0141Z	LAZARO CARDENAS DEL RIO	CALLE 20-A 101	BACA	BACA
62	31DJN0244V	PITAGORAS	CALLE 15	BACA	BACA
63	31KJN0003G	PREESCOLAR COMUNITARIO		SAN ISIDRO KUXUB	BACA
64	31DJN0247S	DESPERTAR INFANTIL	CALLE 21 99 A	TIXKUNCHEIL	BACA
65	31KJN0114L	PREESCOLAR COMUNITARIO		KANKABCHEN GAMBOA	BACA
66	31DPR0190Y	BENITO JUAREZ GARCIA	CALLE 19-A	BACA	BACA
67	31EPR0003M	JOSE E TORRES CERVANTES	CALLE 21 103	BACA	BACA
68	31DPR0939T	JUSTO SIERRA MENDEZ		SAN ISIDRO KUXUB	BACA
69	31DPR0897K	EMILIANO ZAPATA	CALLE 20 108	TIXKUNCHEIL	BACA
70	31KPR0002Y	PRIMARIA COMUNITARIA	SN	KANKABCHEN GAMBOA	BACA
71	31EES0045E	JOSE LOPEZ PORTILLO Y ROJAS	CALLE 30-A	BACA	BACA
72	31ETV0101M	SALVADOR ZUBIRAN		TIXKUNCHEIL	BACA
73	31DJN0158Z	PABLO PICASSO	CALLE 27 97	BOKOBA	BOKOBA
74	31DPR0171J	IGNACIO ZARAGOZA	CALLE 21 92	BOKOBA	BOKOBA
75	31DPR1728W	GABRIEL NAVARRETE PEREYRA	CALLE 21 99	BOKOBA	BOKOBA
76	31EES0090R	GENER ROBERTO SOSA SOSA	CALLE 21	BOKOBA	BOKOBA
77	31DJN0054D	EMILIANO ZAPATA	CALLE 22	BUCTZOTZ	BUCTZOTZ
78	31DJN0182Z	FRANCISCO MARQUEZ	CALLE 12	BUCTZOTZ	BUCTZOTZ
79	31DCC2008Q	X-K'AN LOOL		X-BEC	BUCTZOTZ
80	31KJN0156K	PREESCOLAR COMUNITARIO		SANTO DOMINGO	BUCTZOTZ
81	31KJN0005E	PREESCOLAR COMUNITARIO		LA GRAN LUCHA	BUCTZOTZ
