ENTIDAD,MUNICIPIO,LOCALIDAD,NOMBRE DE LOCALIDAD,AMBITO
1,1,1,Aguascalientes,U
1,1,106,Arellano,R
1,1,114,Residencial San Nicol†s [Ba§os la Cantera],R
1,1,120,Buenavista de Pe§uelas,R
1,1,121,Cabecita 3 Marias (Rancho Nuevo),R
1,1,125,Ca§ada Grande de Cotorina,R
1,1,126,Ca§ada Honda [Estacion],R
1,1,127,Los Ca§os,R
1,1,128,El Cari§†n,R
1,1,135,El Cedazo (Cedazo de San Antonio),R
1,1,138,Centro de Arriba (El Taray),R
1,1,139,Cieneguilla (La Lumbrera),R
1,1,141,Cobos,R
1,1,144,El Colorado (El Soyatal),R
1,1,146,El Conejal,R
1,1,162,Coyotes,R
1,1,170,Cuauhtemoc (Las Palomas),R
1,1,171,Los Cuervos (Los Ojos de Agua),R
1,1,190,El Duraznillo,R
1,1,191,Los Duron,R
1,1,226,Hacienda Nueva,R
1,1,237,Jaltomate,R
1,1,239,General Jose Maria Morelos y Pavon (Ca§ada Honda),U
1,1,256,La Loma de los Negritos,R
1,1,265,El Malacate,R
1,1,272,Matamoros,R
1,1,291,Los Negritos,R
1,1,292,El Ni†gara,R
1,1,293,Norias de Ojocaliente,U
1,1,296,El Ocote,R
1,1,297,Comunidad el Rocio,R
1,1,315,Pe§uelas (El Cienegal),R
1,1,345,El Refugio de Pe§uelas,R
1,1,355,El Salto de los Salado,R
1,1,357,Norias del Paso Hondo,U
1,1,366,Ejido San Antonio de los Pedroza,R
1,1,367,San Antonio de Pe§uelas,R
1,1,370,San Felipe [Vi§edos],R
1,1,379,San Ignacio,R
1,1,389,San Jose de la Orde§a,R
1,1,405,San Martin (La Cantera),R
1,1,410,San Pedro Cieneguilla,R
1,1,422,Santa Cruz de la Presa (La Tlacuacha),R
1,1,429,Santa Maria de Gallardo,R
1,1,437,Soledad de Abajo,R
1,1,444,El Tanque de los Jimenez,R
1,1,461,Tanque el Trigo,R
1,1,479,Villa Licenciado Jesus Ter†n (Calvillito),U
1,1,514,Asturias,R
1,1,519,Barandales de San Jose,R
1,1,541,Ciudad de los Ni§os,R
1,1,584,El Gigante (Arellano),R
1,1,597,El Guarda,R
1,1,611,El Bramadero,R
1,1,620,El Lucero de la Cruz,R
1,1,648,Norias de Cedazo (Cedazo Norias de Montoro),R
1,1,651,Ojo de Agua de Palmitas,R
1,1,659,Lomas del Picacho,R
1,1,701,San Antonio Primero de los Pedroza [Congregacion],R
1,1,707,San Gerardo [Condominio],R
1,1,770,Vista Alegre,R
1,1,863,Cotorina (Coyotes),R
1,1,866,Montoro (Mesa del Salto),R
1,1,952,Laureles del Sur [Fraccionamiento],R
1,1,988,Lomas de Arellano,R
1,1,992,Lotes de Arellano,R
1,1,1025,Pocitos,U
1,1,1075,El Relicario,R
1,1,1097,Hacienda San Marcos [Fraccionamiento],R
1,1,1100,Olinda [Fraccionamiento],R
1,1,1157,Las Violetas,R
1,1,1173,Lomas del Sur [Fraccionamiento],R
1,1,1178,Granjas F†tima,R
1,1,1179,Los Guerrero,R
1,1,1183,Lomas de Nueva York,R
1,1,2004,La Nueva Teresa,R
1,1,2014,La Aurora [Fraccionamiento],R
1,1,2016,Ampliacion de Calvillito (Colonia la Herrada),R
1,1,2050,Cumbres III,R
1,1,2054,Ejido los Negritos,R
1,1,2065,Valle de San Ignacio (El Filso),R
1,1,2097,Veteranos de la Revolucion [Colonia],R
1,1,2132,La Perla [Colonia],R
1,1,2151,Playas de Guadalupe,R
1,1,2308,El Polvorin (Mirador TV Azteca),R
1,1,2309,Pozo el Trigo,R
1,1,2328,San Ignacio II y III,R
1,1,2361,Mision de San Jeronimo [Fraccionamiento],R
1,1,2367,Villas del Mediterr†neo,R
1,1,2369,San Sebasti†n [Fraccionamiento],R
1,1,2371,Cartagena [Fraccionamiento],R
1,1,2376,Che Guevara [Colonia],R
1,1,2381,Vista Hermosa [Fraccionamiento],R
1,1,2413,Las Plazas [Condominio],R
1,1,2414,Montebello Della Stanza [Fraccionamiento],R
1,1,2415,Paseos de San Antonio [Fraccionamiento],R
1,1,2426,Q Campestre [Condominio],R
1,1,2428,Ruscello [Condominio],R
1,1,2443,Andares [Condominio],R
1,1,2444,Mayorazgo San Cristobal [Condominio],R
1,1,2445,Residencial Hacienda San Martin [Fraccionamiento],R
1,1,2447,Los Fresnos [Residencial Campestre],R
1,1,2448,Punta del Cielo [Fraccionamiento Residencial],R
1,1,2459,Villas de las Norias [Fraccionamiento],R
1,1,2460,Xenia Residencial [Condominio],R
1,2,1,Asientos,U
1,2,2,Las Adjuntas,R
1,2,3,Licenciado Adolfo Lopez Mateos,R
1,2,4,Plutarco Elias Calles,R
1,2,5,Amarillas de Esparza,R
1,2,6,El Bajio de los Campos,R
1,2,7,Bimbaletes Aguascalientes (El Alamo),R
1,2,8,Bimbaletes Atlas (Tanque de la Vieja),R
1,2,9,Emancipacion (Borunda) [Colonia],R
1,2,10,Caldera,R
1,2,11,Cienega Grande,U
1,2,12,Clavellinas,R
1,2,13,San Pedro [Colonia],R
1,2,14,Crisostomos,R
1,2,15,Charco Azul,R
1,2,17,La Dichosa,R
1,2,19,La Esperanza,R
1,2,20,El Epazote,R
1,2,21,Las Fraguas,R
1,2,22,Francisco Villa,R
1,2,23,La Gloria,R
1,2,24,Gorriones,R
1,2,25,Guadalupe de Atlas,R
1,2,27,Jarillas,R
1,2,28,Jilotepec,R
1,2,30,L†zaro C†rdenas,R
1,2,31,El Llavero,R
1,2,33,Molinos,R
1,2,34,Las Negritas,R
1,2,35,Noria del Borrego (Norias),R
1,2,36,Ojo de Agua de Rosales,R
1,2,37,Ojo de Agua de los Sauces,R
1,2,39,Pilotos,R
1,2,40,Pino Su†rez (Rancho Viejo),R
1,2,41,El Polvo,R
1,2,45,El Salitre,R
1,2,46,San Antonio de los Martinez,R
1,2,47,San Gil,R
1,2,48,San Jose del Rio,R
1,2,51,San Rafael de Ocampo,R
1,2,53,Tanque de Guadalupe,R
1,2,54,Tanque Viejo,R
1,2,55,El Tepetatillo [Rancho],R
1,2,56,La Tinajuela,R
1,2,58,El Tule,R
1,2,59,Villa Ju†rez,U
1,2,60,Viudas de Poniente,R
1,2,128,San Jose del Tulillo,R
1,2,243,San Vicente,R
1,2,259,Licenciado Adolfo Lopez Mateos,R
1,3,1,Calvillo,U
1,3,4,Las Animas,R
1,3,9,Barranca de Portales,R
1,3,20,Colomos,R
1,3,21,El Cuervero (Cuerveros),R
1,3,24,Chiquihuitero (San Isidro),R
1,3,32,Jaltiche de Abajo,R
1,3,33,Jaltiche de Arriba,R
1,3,36,La Labor,R
1,3,41,El Maguey,R
1,3,43,Malpaso,R
1,3,45,La Media Luna,R
1,3,47,Mesa Grande,R
1,3,55,Ojocaliente,U
1,3,56,Arroyo Ojocalientillo,R
1,3,57,Ojo de Agua,R
1,3,59,Palo Alto,R
1,3,60,La Panadera,R
1,3,64,Los Patos,R
1,3,65,Piedras Chinas,R
1,3,69,Presa de los Serna,R
1,3,74,La Rinconada,R
1,3,78,El Rodeo,R
1,3,79,El Salitre,R
1,3,80,Salitrillo,R
1,3,83,San Nicol†s,R
1,3,84,San Tadeo,R
1,3,87,El Sauz de la Labor,R
1,3,88,El Sauz,R
1,3,90,Temazcal,R
1,3,91,El Tepalcate,R
1,3,94,La Teresa,R
1,3,95,El Terrero de la Labor,R
1,3,96,El Terrero del Refugio,R
1,3,98,Las Tinajas,R
1,3,105,El Zapote de la Labor,R
1,3,110,Crucero las Pilas,R
1,3,128,Jardines de San Isidro (Colonia Limon),R
1,3,139,El Tepetate de Arriba,R
1,3,171,Puerta de Fragua (Presa la Codorniz),R
1,3,222,Valle Huejucar [Fraccionamiento Popular],R
1,3,320,Solidaridad [Fraccionamiento],R
1,3,387,CINE,R
1,3,414,Antorchistas [Fraccionamiento],R
1,4,1,Cosio,U
1,4,11,El Durazno,R
1,4,18,Guadalupito,R
1,4,25,El Refugio de Providencia (Providencia),R
1,4,26,La Punta,R
1,4,28,El Refugio de Agua Zarca,R
1,4,30,El Salero,R
1,4,32,Santa Maria de la Paz,R
1,4,33,Soledad de Abajo [Estacion de Adames],R
1,4,34,Soledad de Arriba,R
1,4,38,Zacatequillas,R
