ID,CCT,NOMBRE,TURNO,NIVEL,MATRICULA (TOTAL DE ALUMNOS) CICLO 2016-2017,MUNICIPIO,LOCALIDAD,CALLE Y NUMERO,COLONIA,REGION
1,31DCC0271C,ADOLFO LOPEZ MATEOS,MATUTINO,PREESCOLAR,96,ABALA,ABALA,CALLE 11,MAXCANU,
2,31DCC0221V,JUANA INES DE LA CRUZ,MATUTINO,PREESCOLAR,16,ABALA,MUCUYCHE,,MAXCANU,
3,31KJN0176Y,PREESCOLAR COMUNITARIO,DISCONTINUO,PREESCOLAR,10,ABALA,SIHUNCHEN,,MAXCANU,
4,31DCC0066T,SAJKAB MUKUY,MATUTINO,PREESCOLAR,24,ABALA,TEMOZON,CALLE 3,MAXCANU,
5,31DCC0272B,PLUTARCO ELIAS CALLES,MATUTINO,PREESCOLAR,133,ABALA,UAYALCEH,,MAXCANU,
6,31KJN0346B,PREESCOLAR COMUNITARIO,DISCONTINUO,PREESCOLAR,12,ABALA,PEBA,,MAXCANU,
7,31DCC0064V,FELIPE CARRILLO PUERTO,MATUTINO,PREESCOLAR,14,ABALA,CACAO,,MAXCANU,
8,31DPR1699R,RAFAEL RAMIREZ CASTAÑEDA,MATUTINO,PRIMARIA,198,ABALA,ABALA,CALLE 8 NA,MAXCANU,
9,31DPR0921U,ELIEZER TREJO CAMARA,MATUTINO,PRIMARIA,52,ABALA,MUCUYCHE,,MAXCANU,
10,31DPR1008P,VICENTE GUERRERO,MATUTINO,PRIMARIA,24,ABALA,SIHUNCHEN,,MAXCANU,
11,31DPR0879V,SILVESTRE CHI,MATUTINO,PRIMARIA,96,ABALA,TEMOZON,,MAXCANU,
12,31DPR0850Q,NICOLAS MOGUEL,MATUTINO,PRIMARIA,308,ABALA,UAYALCEH,CALLE CONOCIDO DOMICILIO CONOCIDO,MAXCANU,
13,31DPR0164Z,PIPILA,MATUTINO,PRIMARIA,28,ABALA,PEBA,,MAXCANU,
14,31DPR0848B,MIGUEL HIDALGO Y COSTILLA,MATUTINO,PRIMARIA,34,ABALA,CACAO,,MAXCANU,
15,31EES0088C,DANIEL AYALA PEREZ,VESPERTINO,SECUNDARIA,155,ABALA,ABALA,CALLE 10 28,MAXCANU,
