"NOMBRE"	"CALLE.Y.NUMERO"	"LOCALIDAD"	"MUNICIPIO"	"LAT_HITS"	"LNG_HITS"
"MIGUEL DE CERVANTES SAAVEDRA"	"CALLE 16 477"	"MERIDA"	"MERIDA"	"20.9491951"	"-89.6605956"
"ALVARO OBREGON"	""	"CORRAL"	"TZUCACAB"	"19.8123122"	"-89.0040505"
"JUSTICIA SOCIAL"	""	"JUSTICIA SOCIAL"	"PETO"	"19.9308333"	"-88.8594444"
"LOS TRATADOS DE TZUCACAB"	"CALLE 32"	"TZUCACAB"	"TZUCACAB"	"19.9400592"	"-88.8696522"
"ESCUELA SECUNDARIA TECNICA NUM. 64"	""	"CATMIS"	"TZUCACAB"	"19.9544354"	"-88.9434467"
"JUAN DE LA BARRERA"	""	"CATMIS"	"TZUCACAB"	"19.9548602"	"-88.949257"
"GUSTAVO DIAZ ORDAZ"	""	"CATMIS"	"TZUCACAB"	"19.9562144"	"-88.9478214"
"VICENTE GUERRERO"	"CALLE 22"	"TZUCACAB"	"TZUCACAB"	"20.068202"	"-89.0456901"
"FELIPE CARRILLO PUERTO"	"CALLE 35"	"TUNKAS"	"TUNKAS"	"20.0719367"	"-89.046912"
"NARCISO MENDOZA"	"CALLE 23 79"	"TZUCACAB"	"TZUCACAB"	"20.0763245"	"-89.0461957"
"NIÑO ARTILLERO"	"CALLE 23 22"	"TZUCACAB"	"TZUCACAB"	"20.0763894"	"-89.0466065"
"FRANCISCO SARABIA"	"CALLE 28 234"	"PETO"	"PETO"	"20.1165841"	"-88.9216995"
"GASPAR ANTONIO XIU"	"CALLE 45-A 189"	"PETO"	"PETO"	"20.1187438"	"-88.9227752"
"MIGUEL HIDALGO Y COSTILLA"	""	"EK-BALAM"	"TZUCACAB"	"20.122571"	"-89.064793"
"20 DE NOVIEMBRE"	"CALLE 34"	"PETO"	"PETO"	"20.1262672"	"-88.9228321"
"JOSEFA ORTIZ DE DOMINGUEZ"	"CALLE 42"	"PETO"	"PETO"	"20.1272071"	"-88.9288377"
"INOCENCIO RUIZ"	"CALLE 31-A 253"	"PETO"	"PETO"	"20.1292168"	"-88.932078"
"FRANCISCO I. MADERO"	"CALLE 34 201"	"PETO"	"PETO"	"20.1344828"	"-88.9243786"
"PILAR VICTORIA Y VICTORIA"	"CALLE 9"	"PETO"	"PETO"	"20.1370198"	"-88.9221543"
"PILAR VICTORIA Y VICTORIA"	"CALLE 9"	"PETO"	"PETO"	"20.1370198"	"-88.9221543"
"MELCHOR OCAMPO"	"CALLE 32 SN"	"KANCAB"	"TEKAX"	"20.1945143"	"-89.3412426"
"SALVADOR ALVARADO"	""	"KANCAB"	"TEKAX"	"20.1949367"	"-89.3459105"
"CARLOS CASTILLO MONTES DE OCA"	"CALLE 53"	"TEKAX DE ALVARO OBREGON"	"TEKAX"	"20.1971271"	"-89.2752567"
"EVA SAMANO BISHOP"	"CALLE 61 195"	"TEKAX DE ALVARO OBREGON"	"TEKAX"	"20.1971535"	"-89.2839303"
"FRANCISCO VILLA"	""	"CANEK"	"TEKAX"	"20.2000542"	"-89.3297353"
"FABIAN SANSORES"	"CALLE 55 204"	"TEKAX DE ALVARO OBREGON"	"TEKAX"	"20.202486"	"-89.2878031"
"LEV VYGOTSKY"	"CALLE 41"	"TEKAX DE ALVARO OBREGON"	"TEKAX"	"20.2026285"	"-89.2728924"
"FELIPE CARRILLO PUERTO"	"CALLE 51"	"TEKAX DE ALVARO OBREGON"	"TEKAX"	"20.2031298"	"-89.2852844"
"JOSE MONTES DE OCA"	"CALLE 55 202"	"TEKAX DE ALVARO OBREGON"	"TEKAX"	"20.2033395"	"-89.2892601"
