Cve de la Entidad,Nombre de la Entidad Federativa,Clave del Municipio,Nombre del Municipio
31,Yucatan,1,Abala
31,Yucatan,2,Acanceh
31,Yucatan,3,Akil
31,Yucatan,4,Baca
31,Yucatan,5,Bokoba
31,Yucatan,6,Buctzotz
31,Yucatan,7,Cacalchen
31,Yucatan,8,Calotmul
31,Yucatan,9,Cansahcab
31,Yucatan,10,Cantamayec
31,Yucatan,11,Celestun
31,Yucatan,12,Cenotillo
31,Yucatan,13,Conkal
31,Yucatan,14,Cuncunul
31,Yucatan,15,Cuzama
31,Yucatan,16,Chacsinkin
31,Yucatan,17,Chankom
31,Yucatan,18,Chapab
31,Yucatan,19,Chemax
31,Yucatan,20,Chicxulub Pueblo
31,Yucatan,21,Chichimila
31,Yucatan,22,Chikindzonot
31,Yucatan,23,Chochola
31,Yucatan,24,Chumayel
31,Yucatan,25,Dzan
31,Yucatan,26,Dzemul
31,Yucatan,27,Dzidzantun
31,Yucatan,28,Dzilam de Bravo
31,Yucatan,29,Dzilam Gonzalez
31,Yucatan,30,Dzitas
31,Yucatan,31,Dzoncauich
31,Yucatan,32,Espita
31,Yucatan,33,Halacho
31,Yucatan,34,Hocaba
31,Yucatan,35,Hoctun
31,Yucatan,36,Homun
31,Yucatan,37,Huhi
31,Yucatan,38,Hunucma
31,Yucatan,39,Ixil
31,Yucatan,40,Izamal
31,Yucatan,41,Kanasin
31,Yucatan,42,Kantunil
31,Yucatan,43,Kaua
31,Yucatan,44,Kinchil
31,Yucatan,45,Kopoma
31,Yucatan,46,Mama
31,Yucatan,47,Mani
31,Yucatan,48,Maxcanu
31,Yucatan,49,Mayapan
31,Yucatan,50,Merida
31,Yucatan,51,Mococha
31,Yucatan,52,Motul
31,Yucatan,53,Muna
31,Yucatan,54,Muxupip
31,Yucatan,55,Opichen
31,Yucatan,56,Oxkutzcab
31,Yucatan,57,Panaba
31,Yucatan,58,Peto
31,Yucatan,59,Progreso
31,Yucatan,60,Quintana Roo
31,Yucatan,61,Rio Lagartos
31,Yucatan,62,Sacalum
31,Yucatan,63,Samahil
31,Yucatan,64,Sanahcat
31,Yucatan,65,San Felipe
31,Yucatan,66,Santa Elena
31,Yucatan,67,Seye
31,Yucatan,68,Sinanche
31,Yucatan,69,Sotuta
31,Yucatan,70,Sucila
31,Yucatan,71,Sudzal
31,Yucatan,72,Suma
31,Yucatan,73,Tahdziu
31,Yucatan,74,Tahmek
31,Yucatan,75,Teabo
31,Yucatan,76,Tecoh
31,Yucatan,77,Tekal de Venegas
31,Yucatan,78,Tekanto
31,Yucatan,79,Tekax
31,Yucatan,80,Tekit
31,Yucatan,81,Tekom
31,Yucatan,82,Telchac Pueblo
31,Yucatan,83,Telchac Puerto
31,Yucatan,84,Temax
31,Yucatan,85,Temozon
31,Yucatan,86,Tepakan
31,Yucatan,87,Tetiz
31,Yucatan,88,Teya
31,Yucatan,89,Ticul
31,Yucatan,90,Timucuy
31,Yucatan,91,Tinum
31,Yucatan,92,Tixcacalcupul
31,Yucatan,93,Tixkokob
31,Yucatan,94,Tixmehuac
31,Yucatan,95,Tixpehual
31,Yucatan,96,Tizimin
31,Yucatan,97,Tunkas
31,Yucatan,98,Tzucacab
31,Yucatan,99,Uayma
31,Yucatan,100,Ucu
31,Yucatan,101,Uman
31,Yucatan,102,Valladolid
31,Yucatan,103,Xocchel
31,Yucatan,104,Yaxcaba
31,Yucatan,105,Yaxkukul
31,Yucatan,106,Yobain
